id,name,duration_time,price,image_url
1,시장부터 식사까지 경험하는 서울시민의 일상,3시간,유료,https://img.khan.co.kr/news/2017/12/03/l_2017120201000215800011504.webp
2,두 손 두 발 가볍게 경의선 나들이,3시간,무료,https://cdn.emetro.co.kr/data2/content/image/2020/11/01/.cache/512/20201101500226.jpg
3,서울의 야경명소,3시간,무료,https://www.sisa-news.com/data/photos/20180833/art_153414717394_620abb.jpg
4,청계천을 따라 걸으며 느끼는 가을의 정취,3시간,유료,https://dimg.donga.com/ugc/CDB/SHINDONGA/Article/5d/ba/2e/51/5dba2e510db3d2738de6.jpg
5,민주주의를 위한 함성 4.19 혁명,3시간,무료,https://cphoto.asiae.co.kr/listimglink/1/2021033108244157854_1617146682.jpg
6,쌍문동 역사 문학투어,3시간,유료,https://image.edaily.co.kr/images/Photo/files/NP/S/2017/11/PS17111900028.jpg
7,책과 커피가 함께하는 신촌의 가을 감성,3시간,유료,https://image.edaily.co.kr/images/Photo/files/NP/S/2017/11/PS17111900028.jpg
8,"그 시절 서울, 추억을 파는 극장으로 초대합니다.",3시간,유료,https://img.seoul.co.kr//img/upload/2017/09/13/SSI_20170913171249.jpg
9,과거도 지금도 핫플장소! 용산 이태원 투어,3시간,유료,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=2051&fileTy=POSTTHUMB&fileNo=1
10,여의도 도심 산책,3시간,유료,https://futureheritage.seoul.go.kr/HeritageImg/heritage/20171017093959_01.jpg
11,"다리로 이어지는 시간 여행! 종로와 을지로의 물, 길, 그리고 삶",3시간,유료,https://photo.sentv.co.kr/photo/news/2021/01/04/1609720744.png
12,"전통의 향기 품은 인사동 골목길에서 색, 멋, 맛을 향유하다",4시간,유료,https://img.seoul.co.kr//img/upload/2020/06/03/SSI_20200603165311.jpg
13,성북동천에 흐르는 미래유산을 찾아서,3시간,유료,https://img.hani.co.kr/imgdb/resize/2016/0812/147089295599_20160812.JPG
14,겉모습은 바뀌지만 속의 추억은 전해지는 공간. 성수동 코스,3시간,유료,https://futureheritage.seoul.go.kr/HeritageImg/heritage/20210928165322_2020022_001_%25ED%2595%259C%25EC%2596%2591%25EB%258C%2580%25ED%2595%2599%25EA%25B5%2590%25EB%25B0%2595%25EB%25AC%25BC%25EA%25B4%2580%25EC%2599%25B8%25EA%25B4%2580%25EC%25B8%25A1%25EB%25A9%25B41.jpg
15,시대가 공존하는 길거리 갤러리,2시간,유료,https://mblogthumb-phinf.pstatic.net/MjAyMjA3MjZfNjkg/MDAxNjU4ODA5MjA2NzQ2.8zHn5pycFPYzUxZpo-w7WR7S4D15knXCuoV2sMRpovEg.exiNKLH1vUaqxgusXMphcimeNIQTxxGu82eL_UmNG4gg.JPEG.roaltlf/12.%EC%98%81%EB%93%B1%ED%8F%AC%EA%B3%B5%EC%9B%90%28%EB%8B%B4%EA%B8%88%EC%86%A5%29.jpg?type=w420
16,"서울 중심도로의 기억과 보전, 남대문로와 태평로 일대",4시간,유료,https://www.sisa-news.com/data/photos/20180833/art_153414717394_620abb.jpg
17,한옥과 예인의 동네 상촌,4시간,무료,https://img.hani.co.kr/imgdb/resize/2012/0114/132642919501_20120114.JPG
18,성북동에 숨어 있는 문화유산과 역사인물의 흔적,4시간,유료,https://mediahub.seoul.go.kr/wp-content/uploads/editor/images/000299/%EC%B5%9C%EC%88%9C%EC%9A%B0_%EC%98%9B%EC%A7%91.jpg
19,예술과 문화의 용광로 대학로,3시간,유료,https://img.seoul.co.kr//img/upload/2020/08/10/SSI_20200810175936.jpg
20,서울 최고의 한옥 동네 북촌,3시간,유료,https://a.cdn-hotels.com/gdcs/production60/d893/3172bd6f-726c-4561-810f-deec13d17a6e.jpg?impolicy=fcrop&w=800&h=533&q=medium
21,서민의 공간 종로와 서울의 시장,4시간,유료,https://i.namu.wiki/i/bUFyyHqb6wMYnrV-PlAw3M6g-U5en9ZD3X2RCnQDmniD110oQwkzzLE_JOvXCKooIVz398h5RJi1DzufDuZyjA.webp
22,현대사를 안고 흐르는 땅 강남,3시간,무료,https://www.geumcheon.go.kr/site/portal/images/contents/cts2595_img01.jpg
23,근현대 100년의 기억 정동,2시간 반,유료,https://i.namu.wiki/i/livR1P25EtG6RpatZgQEICLWbhigDcSsOa6d1uIFcLWjf2obq4Ea202rKMlHqVA2Y5j7QBWPS8u25LuCqE0l4Q.webp
24,"권력의 캔버스, 남산의 어제와 오늘 그리고 미래",3시간,무료,https://mblogthumb-phinf.pstatic.net/MjAyMTA0MTNfNzQg/MDAxNjE4MzE5OTcyMDQ4.LyYaJucUXhZT8mVi3mIXEgdzqlWpdlRbVVGer_opaWwg._N1ioIpbFFb3pqoSmT9l72m5ZikHZ6vnKHb-cVgXYIcg.JPEG.hanbam/DSC01750-966.JPG?type=w800
25,"광희동에서 장충동까지, 한양도성 따라 만나는 지난 100년",3시간,유료,https://i.namu.wiki/i/zobEzKp5TMM5rNZPkoWCeAZSzD42XIPnXvCKylCjau7-77o0gJJycPUxDE79W0wA48-AAfiHRVCukMJN3ZLnVw.webp
26,머리부터 발끝까지 충격! 서울 패션의 중심지,3시간,유료,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013077/jpg/2013077_001_thumb.jpg
27,가을바람과 함께 동심 가득 상상의 나라로 떠나요,2시간,유료,http://futureheritage.seoul.go.kr/HeritageImg/heritage/20140326154405_%25EB%258F%2599%25EB%258C%2580%25EB%25AC%25B8%25EC%258B%25A0%25EB%25B0%259C%25EC%25A2%2585%25ED%2595%25A9%25EC%2583%2581%25EA%25B0%2580A%25EB%258F%2599%25EC%25B8%25A1%25EB%25A9%25B4.jpg
28,신비롭고 웅장한 궁이 품은 서울의 중심지를 만나다,4시간,무료,http://futureheritage.seoul.go.kr/HeritageImg/heritage/20210928162611_2020012_016_%25EC%2596%25B4%25EB%25A6%25B0%25EC%259D%25B4%25EB%258C%2580%25EA%25B3%25B5%25EC%259B%2590%25EA%25BF%2588%25EB%25A7%2588%25EB%25A3%25A83%25EC%25B8%25B5%25ED%2586%25B5%25EB%25A1%259C2_thumb.jpg
29,도심 속 작은 섬 선유도 공원 투어,2시간,무료,http://futureheritage.seoul.go.kr/HeritageImg/heritage/20140326132210_1.JPG
30,강남빌딩 숲에서 느껴지는 여유,3시간,유료,http://futureheritage.seoul.go.kr/HeritageImg/multimedia/20220622094317_S_2013156_%25EC%25B6%2594_007%25EC%2584%25A0%25EC%259C%25A0%25EB%258F%2584%25EA%25B3%25B5%25EC%259B%2590%25EB%2582%25B4%25EB%25B6%25801.jpg
31,억새 물결과 핑크빛으로 물든 도심 속 힐링 스폿,2시간,무료,http://futureheritage.seoul.go.kr/HeritageImg/heritage/20140409115354_%25ED%2581%25AC%25EA%25B8%25B0%25EB%25B3%2580%25ED%2599%2598_SAM_1086.JPG
32,광화문광장에서 밤산책해요,3시간,유료,https://edu.chosun.com/site/data/img_dir/2022/09/06/2022090601714_1.png
33,60-80년대 소시민의 삶의 흔적을 찾아서,3시간,유료,https://futureheritage.seoul.go.kr/HeritageImg/multimedia/20230918105645_%25EA%25B0%2580%25EC%2582%25B0%25EB%258B%25A4%25EC%25A7%2580%25ED%2584%25B8%25EB%258B%25A8%25EC%25A7%2580%25EC%2597%25AD_013_%25EC%258A%25A4%25EB%25A7%2588%25ED%258A%25B8G%25EB%25B0%25B8%25EB%25A6%25AC.jpg
34,무지개빛 한강뷰따라 인생 야경을 만나다,2시간,무료,https://cdn.thekpm.com/news/photo/202108/94248_73751_0906.jpg
35,남산에서 만나는 서울미래유산,2시간,무료,https://cdn.thekpm.com/news/photo/202108/94248_73751_0906.jpg
